created_at,updated_at,marks_id,registration_id,cie_marks,see_marks,total_marks,grade_letter,grade_point,credit_points,credits_registered,credits_earned,result
2026-07-30T21:22:50.633562,2026-07-30T21:22:50.633564,MK000030,REG000031,26,50,76,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633570,2026-07-30T21:22:50.633572,MK000031,REG000032,20,45,65,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633578,2026-07-30T21:22:50.633580,MK000032,REG000033,20,55,75,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633586,2026-07-30T21:22:50.633588,MK000033,REG000034,23,49,72,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633594,2026-07-30T21:22:50.633596,MK000034,REG000036,16,41,57,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633602,2026-07-30T21:22:50.633604,MK000035,REG000037,21,33,54,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633610,2026-07-30T21:22:50.633613,MK000036,REG000038,24,50,74,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633620,2026-07-30T21:22:50.633621,MK000037,REG000039,11,42,53,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633627,2026-07-30T21:22:50.633629,MK000038,REG000040,19,44,63,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633636,2026-07-30T21:22:50.633637,MK000039,REG000041,9,34,43,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.633643,2026-07-30T21:22:50.633645,MK000040,REG000042,8,33,41,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.633652,2026-07-30T21:22:50.633653,MK000041,REG000044,15,29,44,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.633660,2026-07-30T21:22:50.633662,MK000042,REG000045,28,63,91,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.633668,2026-07-30T21:22:50.633670,MK000043,REG000046,21,63,84,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633676,2026-07-30T21:22:50.633677,MK000044,REG000047,18,58,76,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633683,2026-07-30T21:22:50.633685,MK000045,REG000048,19,50,69,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633691,2026-07-30T21:22:50.633693,MK000046,REG000049,27,64,91,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.633699,2026-07-30T21:22:50.633701,MK000047,REG000050,30,60,90,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.633707,2026-07-30T21:22:50.633709,MK000048,REG000051,26,57,83,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633714,2026-07-30T21:22:50.633716,MK000049,REG000052,30,66,96,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.633722,2026-07-30T21:22:50.633724,MK000050,REG000053,27,55,82,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633730,2026-07-30T21:22:50.633732,MK000051,REG000054,19,58,77,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633738,2026-07-30T21:22:50.633739,MK000052,REG000055,26,58,84,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633745,2026-07-30T21:22:50.633747,MK000053,REG000056,18,53,71,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633754,2026-07-30T21:22:50.633755,MK000054,REG000057,15,53,68,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633761,2026-07-30T21:22:50.633763,MK000055,REG000058,10,55,65,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633769,2026-07-30T21:22:50.633771,MK000056,REG000059,16,34,50,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633778,2026-07-30T21:22:50.633779,MK000057,REG000060,17,55,72,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633788,2026-07-30T21:22:50.633790,MK000058,REG000061,12,32,44,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.633797,2026-07-30T21:22:50.633799,MK000059,REG000062,21,51,72,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633805,2026-07-30T21:22:50.633807,MK000060,REG000063,15,50,65,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633813,2026-07-30T21:22:50.633815,MK000061,REG000064,18,40,58,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633825,2026-07-30T21:22:50.633827,MK000062,REG000065,4,35,39,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.633833,2026-07-30T21:22:50.633834,MK000063,REG000066,7,32,39,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.633840,2026-07-30T21:22:50.633842,MK000064,REG000067,9,36,45,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.633849,2026-07-30T21:22:50.633850,MK000065,REG000069,30,57,87,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633857,2026-07-30T21:22:50.633859,MK000066,REG000070,30,57,87,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633865,2026-07-30T21:22:50.633866,MK000067,REG000071,24,58,82,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633872,2026-07-30T21:22:50.633874,MK000068,REG000072,29,59,88,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633880,2026-07-30T21:22:50.633882,MK000069,REG000073,24,30,54,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633888,2026-07-30T21:22:50.633890,MK000070,REG000074,21,58,79,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633896,2026-07-30T21:22:50.633897,MK000071,REG000075,12,40,52,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633903,2026-07-30T21:22:50.633905,MK000072,REG000076,22,48,70,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.633911,2026-07-30T21:22:50.633913,MK000073,REG000077,17,42,59,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.633919,2026-07-30T21:22:50.633921,MK000074,REG000078,18,47,65,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633927,2026-07-30T21:22:50.633929,MK000075,REG000079,17,48,65,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633935,2026-07-30T21:22:50.633936,MK000076,REG000080,12,48,60,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.633942,2026-07-30T21:22:50.633944,MK000077,REG000081,9,40,49,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.633951,2026-07-30T21:22:50.633953,MK000078,REG000082,13,36,49,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.633959,2026-07-30T21:22:50.633961,MK000079,REG000083,14,17,31,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.633967,2026-07-30T21:22:50.633968,MK000080,REG000084,6,34,40,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.633974,2026-07-30T21:22:50.633976,MK000081,REG000085,28,65,93,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.633982,2026-07-30T21:22:50.633984,MK000082,REG000086,24,56,80,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633989,2026-07-30T21:22:50.633991,MK000083,REG000087,26,59,85,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.633997,2026-07-30T21:22:50.633999,MK000084,REG000088,24,55,79,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634005,2026-07-30T21:22:50.634006,MK000085,REG000089,10,40,50,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634015,2026-07-30T21:22:50.634017,MK000086,REG000090,15,39,54,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634023,2026-07-30T21:22:50.634027,MK000087,REG000091,10,38,48,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634033,2026-07-30T21:22:50.634035,MK000088,REG000092,24,55,79,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634041,2026-07-30T21:22:50.634043,MK000089,REG000093,26,65,91,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.634048,2026-07-30T21:22:50.634050,MK000090,REG000094,30,70,100,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.634056,2026-07-30T21:22:50.634058,MK000091,REG000095,25,55,80,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634063,2026-07-30T21:22:50.634065,MK000092,REG000096,29,59,88,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634074,2026-07-30T21:22:50.634076,MK000093,REG000097,0,12,12,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634082,2026-07-30T21:22:50.634084,MK000094,REG000098,8,17,25,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634090,2026-07-30T21:22:50.634092,MK000095,REG000100,11,27,38,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634110,2026-07-30T21:22:50.634115,MK000096,REG000101,12,10,22,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634127,2026-07-30T21:22:50.634130,MK000097,REG000104,3,21,24,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634136,2026-07-30T21:22:50.634138,MK000098,REG000105,23,49,72,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634144,2026-07-30T21:22:50.634146,MK000099,REG000106,24,49,73,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634152,2026-07-30T21:22:50.634154,MK000100,REG000107,21,53,74,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634160,2026-07-30T21:22:50.634162,MK000101,REG000108,27,56,83,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634168,2026-07-30T21:22:50.634169,MK000102,REG000109,15,46,61,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634176,2026-07-30T21:22:50.634177,MK000103,REG000110,18,30,48,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634183,2026-07-30T21:22:50.634185,MK000104,REG000111,20,45,65,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634191,2026-07-30T21:22:50.634193,MK000105,REG000112,21,49,70,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634199,2026-07-30T21:22:50.634200,MK000106,REG000113,24,70,94,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.634209,2026-07-30T21:22:50.634211,MK000107,REG000114,28,65,93,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.634217,2026-07-30T21:22:50.634219,MK000108,REG000115,26,61,87,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634225,2026-07-30T21:22:50.634227,MK000109,REG000116,27,62,89,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634234,2026-07-30T21:22:50.634236,MK000110,REG000117,25,56,81,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634242,2026-07-30T21:22:50.634243,MK000111,REG000118,22,49,71,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634249,2026-07-30T21:22:50.634251,MK000112,REG000119,23,47,70,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634257,2026-07-30T21:22:50.634261,MK000113,REG000120,18,58,76,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634268,2026-07-30T21:22:50.634269,MK000114,REG000121,26,51,77,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634277,2026-07-30T21:22:50.634280,MK000115,REG000122,23,65,88,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634286,2026-07-30T21:22:50.634288,MK000116,REG000123,28,60,88,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634294,2026-07-30T21:22:50.634295,MK000117,REG000124,24,61,85,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634301,2026-07-30T21:22:50.634303,MK000118,REG000125,20,34,54,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634309,2026-07-30T21:22:50.634311,MK000119,REG000126,10,48,58,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634317,2026-07-30T21:22:50.634319,MK000120,REG000127,18,39,57,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634325,2026-07-30T21:22:50.634327,MK000121,REG000128,17,45,62,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634333,2026-07-30T21:22:50.634334,MK000122,REG000129,11,30,41,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.634340,2026-07-30T21:22:50.634342,MK000123,REG000130,19,39,58,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634348,2026-07-30T21:22:50.634350,MK000124,REG000131,24,30,54,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634356,2026-07-30T21:22:50.634358,MK000125,REG000132,18,45,63,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634364,2026-07-30T21:22:50.634365,MK000126,REG000133,16,55,71,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634371,2026-07-30T21:22:50.634373,MK000127,REG000134,12,53,65,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634379,2026-07-30T21:22:50.634381,MK000128,REG000135,10,51,61,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634387,2026-07-30T21:22:50.634388,MK000129,REG000136,24,37,61,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634395,2026-07-30T21:22:50.634397,MK000130,REG000137,16,50,66,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634403,2026-07-30T21:22:50.634404,MK000131,REG000138,24,31,55,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634410,2026-07-30T21:22:50.634412,MK000132,REG000139,16,41,57,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634418,2026-07-30T21:22:50.634420,MK000133,REG000140,14,52,66,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634426,2026-07-30T21:22:50.634428,MK000134,REG000141,10,39,49,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634434,2026-07-30T21:22:50.634435,MK000135,REG000142,16,50,66,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634442,2026-07-30T21:22:50.634443,MK000136,REG000143,10,37,47,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634449,2026-07-30T21:22:50.634451,MK000137,REG000144,20,33,53,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634457,2026-07-30T21:22:50.634461,MK000138,REG000145,12,56,68,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634467,2026-07-30T21:22:50.634469,MK000139,REG000146,23,36,59,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634475,2026-07-30T21:22:50.634477,MK000140,REG000148,15,58,73,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634483,2026-07-30T21:22:50.634485,MK000141,REG000150,19,45,64,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634491,2026-07-30T21:22:50.634493,MK000142,REG000151,14,29,43,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.634505,2026-07-30T21:22:50.634507,MK000143,REG000152,11,34,45,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634513,2026-07-30T21:22:50.634515,MK000144,REG000153,8,34,42,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.634521,2026-07-30T21:22:50.634523,MK000145,REG000154,9,30,39,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634529,2026-07-30T21:22:50.634531,MK000146,REG000155,7,28,35,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634537,2026-07-30T21:22:50.634539,MK000147,REG000156,13,27,40,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.634545,2026-07-30T21:22:50.634547,MK000148,REG000157,21,34,55,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634553,2026-07-30T21:22:50.634554,MK000149,REG000158,24,45,69,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634560,2026-07-30T21:22:50.634562,MK000150,REG000159,20,55,75,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634582,2026-07-30T21:22:50.634584,MK000151,REG000160,21,33,54,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634591,2026-07-30T21:22:50.634593,MK000152,REG000161,26,63,89,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634600,2026-07-30T21:22:50.634601,MK000153,REG000162,26,68,94,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.634608,2026-07-30T21:22:50.634610,MK000154,REG000163,24,57,81,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634617,2026-07-30T21:22:50.634619,MK000155,REG000164,27,62,89,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634626,2026-07-30T21:22:50.634628,MK000156,REG000165,16,47,63,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634635,2026-07-30T21:22:50.634637,MK000157,REG000167,17,29,46,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634644,2026-07-30T21:22:50.634646,MK000158,REG000168,10,39,49,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634653,2026-07-30T21:22:50.634654,MK000159,REG000169,24,60,84,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634661,2026-07-30T21:22:50.634663,MK000160,REG000170,27,62,89,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634670,2026-07-30T21:22:50.634672,MK000161,REG000171,29,62,91,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.634678,2026-07-30T21:22:50.634680,MK000162,REG000172,29,61,90,O,10,40.0,4.0,4.0,PASS
2026-07-30T21:22:50.634687,2026-07-30T21:22:50.634689,MK000163,REG000173,4,22,26,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634699,2026-07-30T21:22:50.634701,MK000164,REG000174,3,29,32,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634709,2026-07-30T21:22:50.634711,MK000165,REG000176,8,18,26,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634718,2026-07-30T21:22:50.634720,MK000166,REG000177,15,38,53,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634727,2026-07-30T21:22:50.634729,MK000167,REG000178,24,58,82,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634736,2026-07-30T21:22:50.634738,MK000168,REG000179,20,54,74,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634745,2026-07-30T21:22:50.634747,MK000169,REG000180,14,54,68,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634754,2026-07-30T21:22:50.634756,MK000170,REG000181,21,61,82,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634767,2026-07-30T21:22:50.634769,MK000171,REG000182,24,55,79,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634776,2026-07-30T21:22:50.634778,MK000172,REG000183,28,60,88,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634785,2026-07-30T21:22:50.634787,MK000173,REG000184,21,54,75,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634794,2026-07-30T21:22:50.634796,MK000174,REG000185,12,45,57,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634803,2026-07-30T21:22:50.634805,MK000175,REG000186,11,38,49,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634812,2026-07-30T21:22:50.634814,MK000176,REG000187,14,42,56,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634821,2026-07-30T21:22:50.634823,MK000177,REG000188,20,26,46,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634830,2026-07-30T21:22:50.634832,MK000178,REG000189,11,30,41,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.634838,2026-07-30T21:22:50.634840,MK000179,REG000190,16,35,51,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634847,2026-07-30T21:22:50.634849,MK000180,REG000191,20,33,53,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634856,2026-07-30T21:22:50.634858,MK000181,REG000192,14,42,56,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634865,2026-07-30T21:22:50.634867,MK000182,REG000195,24,50,74,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634873,2026-07-30T21:22:50.634875,MK000183,REG000196,24,51,75,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634882,2026-07-30T21:22:50.634884,MK000184,REG000197,11,24,35,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634891,2026-07-30T21:22:50.634893,MK000185,REG000198,14,34,48,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634900,2026-07-30T21:22:50.634902,MK000186,REG000199,11,36,47,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634909,2026-07-30T21:22:50.634911,MK000187,REG000200,5,36,41,P,4,16.0,4.0,4.0,PASS
2026-07-30T21:22:50.634918,2026-07-30T21:22:50.634920,MK000188,REG000201,21,62,83,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634927,2026-07-30T21:22:50.634931,MK000189,REG000202,23,60,83,A+,9,36.0,4.0,4.0,PASS
2026-07-30T21:22:50.634938,2026-07-30T21:22:50.634940,MK000190,REG000203,28,45,73,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634947,2026-07-30T21:22:50.634949,MK000191,REG000204,20,48,68,B+,7,28.0,4.0,4.0,PASS
2026-07-30T21:22:50.634956,2026-07-30T21:22:50.634958,MK000192,REG000205,9,28,37,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.634965,2026-07-30T21:22:50.634967,MK000193,REG000207,15,40,55,B,6,24.0,4.0,4.0,PASS
2026-07-30T21:22:50.634974,2026-07-30T21:22:50.634976,MK000194,REG000208,14,31,45,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.634983,2026-07-30T21:22:50.634985,MK000195,REG000209,24,54,78,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.634992,2026-07-30T21:22:50.634994,MK000196,REG000210,11,34,45,C,5,20.0,4.0,4.0,PASS
2026-07-30T21:22:50.635001,2026-07-30T21:22:50.635003,MK000197,REG000211,15,57,72,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.635010,2026-07-30T21:22:50.635012,MK000198,REG000212,18,54,72,A,8,32.0,4.0,4.0,PASS
2026-07-30T21:22:50.635021,2026-07-30T21:22:50.635023,MK000199,REG000213,6,28,34,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.635031,2026-07-30T21:22:50.635033,MK000200,REG000214,10,15,25,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.635040,2026-07-30T21:22:50.635042,MK000201,REG000215,6,8,14,F,0,0.0,4.0,0.0,FAIL
2026-07-30T21:22:50.635049,2026-07-30T21:22:50.635051,MK000202,REG000217,14,53,67,B+,7,28.0,4.0,4.0,PASS
